seat_config,class_size,rho0,delta_lambda,trial,status,completed_at
inner_corner,32,0.6,0.4,1,done,2026-07-24T00:23:13.037
inner_corner,48,0.6,0.0,1,done,2026-07-24T00:23:15.079
inner_corner,48,0.6,0.1,1,done,2026-07-24T00:23:17.111
inner_corner,48,0.6,0.2,1,done,2026-07-24T00:23:18.543
inner_corner,48,0.6,0.3,1,done,2026-07-24T00:23:19.786
inner_corner,48,0.6,0.4,1,done,2026-07-24T00:23:21.054
inner_corner,64,0.6,0.0,1,done,2026-07-24T00:23:24.293
inner_corner,64,0.6,0.1,1,done,2026-07-24T00:23:27.254
inner_corner,64,0.6,0.2,1,done,2026-07-24T00:23:30.401
inner_corner,64,0.6,0.3,1,done,2026-07-24T00:23:33.078
inner_corner,64,0.6,0.4,1,done,2026-07-24T00:23:35.743
inner_corner,96,0.6,0.0,1,done,2026-07-24T00:23:47.274
inner_corner,96,0.6,0.1,1,done,2026-07-24T00:23:59.509
inner_corner,96,0.6,0.2,1,done,2026-07-24T00:24:08.974
inner_corner,96,0.6,0.3,1,done,2026-07-24T00:24:15.242
